t_s,pwm,power_w,t_sense_c,t_die_c,rpm
0.000,29.8039,150.0000,25.0000,25.1133,298.04
0.100,29.8039,150.0000,24.9375,25.2241,576.21
0.200,29.8039,150.0000,25.0625,25.3327,835.83
0.300,29.8039,150.0000,24.9375,25.4392,1078.15
0.400,29.8039,150.0000,25.0000,25.5441,1304.31
0.500,29.8039,150.0000,24.8750,25.6473,1515.40
0.600,29.8039,150.0000,24.9375,25.7490,1712.41
0.700,29.8039,150.0000,25.0000,25.8493,1896.29
0.800,29.8039,150.0000,25.0625,25.9484,2067.91
0.900,29.8039,150.0000,25.0000,26.0463,2228.09
1.000,29.8039,150.0000,24.8750,26.1431,2377.59
1.100,29.8039,150.0000,24.9375,26.2388,2517.12
1.200,29.8039,150.0000,25.0625,26.3336,2647.35
1.300,29.8039,150.0000,25.0625,26.4275,2768.90
1.400,29.8039,150.0000,25.0000,26.5205,2882.35
1.500,29.8039,150.0000,24.9375,26.6127,2988.23
1.600,29.8039,150.0000,25.0000,26.7041,3087.05
1.700,29.8039,150.0000,25.0000,26.7948,3179.29
1.800,29.8039,150.0000,25.0000,26.8848,3265.38
1.900,29.8039,150.0000,25.0625,26.9742,3345.72
2.000,29.8039,150.0000,25.0000,27.0630,3420.71
2.100,29.8039,150.0000,25.0000,27.1512,3490.71
2.200,29.8039,150.0000,25.0625,27.2389,3556.03
2.300,29.8039,150.0000,25.0625,27.3260,3617.00
2.400,29.8039,150.0000,24.9375,27.4126,3673.91
2.500,29.8039,150.0000,25.0000,27.4988,3727.02
2.600,29.8039,150.0000,24.9375,27.5844,3776.59
2.700,29.8039,150.0000,25.0000,27.6697,3822.86
2.800,29.8039,150.0000,25.0000,27.7545,3866.04
2.900,29.8039,150.0000,25.0625,27.8389,3906.34
3.000,29.8039,150.0000,25.0000,27.9229,3943.96
3.100,29.8039,150.0000,25.0000,28.0066,3979.07
3.200,29.8039,150.0000,24.9375,28.0899,4011.84
3.300,29.8039,150.0000,25.0625,28.1728,4042.42
3.400,29.8039,150.0000,25.0000,28.2554,4070.96
3.500,29.8039,150.0000,25.0625,28.3377,4097.61
3.600,29.8039,150.0000,25.0625,28.4197,4122.47
3.700,29.8039,150.0000,25.0625,28.5013,4145.68
3.800,29.8039,150.0000,25.1250,28.5827,4167.34
3.900,29.8039,150.0000,25.1250,28.6638,4187.56
4.000,29.8039,150.0000,25.1875,28.7446,4206.42
4.100,29.8039,150.0000,25.2500,28.8251,4224.04
4.200,29.8039,150.0000,25.3750,28.9054,4240.47
4.300,29.8039,150.0000,25.4375,28.9854,4255.81
4.400,29.8039,150.0000,25.3750,29.0651,4270.13
4.500,29.8039,150.0000,25.4375,29.1446,4283.50
4.600,29.8039,150.0000,25.3750,29.2239,4295.97
4.700,29.8039,150.0000,25.4375,29.3029,4307.61
4.800,29.8039,150.0000,25.5625,29.3817,4318.48
4.900,29.8039,150.0000,25.5625,29.4603,4328.62
5.000,29.8039,150.0000,25.8125,29.5386,4338.08
5.100,29.8039,150.0000,25.6875,29.6167,4346.91
5.200,29.8039,150.0000,25.7500,29.6946,4355.16
5.300,29.8039,150.0000,25.7500,29.7723,4362.85
5.400,29.8039,150.0000,25.7500,29.8498,4370.04
5.500,29.8039,150.0000,26.0000,29.9271,4376.74
5.600,29.8039,150.0000,25.9375,30.0041,4383.00
5.700,29.8039,150.0000,26.0625,30.0810,4388.84
5.800,29.8039,150.0000,26.1875,30.1577,4394.29
5.900,29.8039,150.0000,26.1250,30.2341,4399.37
6.000,29.8039,150.0000,26.2500,30.3104,4404.12
6.100,29.8039,150.0000,26.1250,30.3865,4408.55
6.200,29.8039,150.0000,26.2500,30.4624,4412.69
6.300,29.8039,150.0000,26.3750,30.5381,4416.55
6.400,29.8039,150.0000,26.5000,30.6136,4420.15
6.500,29.8039,150.0000,26.5625,30.6889,4423.51
6.600,29.8039,150.0000,26.6250,30.7641,4426.65
6.700,29.8039,150.0000,26.5625,30.8390,4429.58
6.800,29.8039,150.0000,26.7500,30.9138,4432.31
6.900,29.8039,150.0000,26.7500,30.9884,4434.87
7.000,29.8039,150.0000,26.8125,31.0628,4437.25
7.100,29.8039,150.0000,26.8750,31.1371,4439.47
7.200,29.8039,150.0000,27.0000,31.2112,4441.54
7.300,29.8039,150.0000,27.0000,31.2850,4443.48
7.400,29.8039,150.0000,27.1875,31.3588,4445.29
7.500,29.8039,150.0000,27.1250,31.4323,4446.97
7.600,29.8039,150.0000,27.1875,31.5057,4448.55
7.700,29.8039,150.0000,27.3750,31.5789,4450.02
7.800,29.8039,150.0000,27.3125,31.6519,4451.39
7.900,29.8039,150.0000,27.4375,31.7248,4452.67
8.000,29.8039,150.0000,27.5000,31.7975,4453.86
8.100,29.8039,150.0000,27.5625,31.8700,4454.98
8.200,29.8039,150.0000,27.6250,31.9424,4456.02
8.300,29.8039,150.0000,27.8125,32.0146,4456.99
8.400,29.8039,150.0000,27.8125,32.0867,4457.90
8.500,29.8039,150.0000,27.9375,32.1585,4458.74
8.600,29.8039,150.0000,28.0000,32.2302,4459.53
8.700,29.8039,150.0000,28.0000,32.3018,4460.27
8.800,29.8039,150.0000,28.0625,32.3732,4460.96
8.900,29.8039,150.0000,28.1250,32.4444,4461.60
9.000,29.8039,150.0000,28.3125,32.5154,4462.20
9.100,29.8039,150.0000,28.3125,32.5863,4462.76
9.200,29.8039,150.0000,28.3750,32.6571,4463.28
9.300,29.8039,150.0000,28.3750,32.7276,4463.77
9.400,29.8039,150.0000,28.5000,32.7981,4464.22
